original_sentence,orig_sent_id,changed_sentence,changed_sent_id,original_file_name,orig_ann,changed_ann
"Привіталася з портьє - молодим хлопцем , імовірно , індійцем , який погано говорив англійською .",104,"Привіталася з портьє - молодою дівчиною , імовірно , індійкою , яка погано говорила англійською .",104,1ed3fef56c8f.txt,"{'T13': ('портьє', 'JOB')}","{'T13': ('портьє', 'JOB')}"
"Дівчина швидко вдяглася , висушила волосся й збігла вниз , до адміністратора .",220,"Дівчина швидко вдяглася , висушила волосся й збігла вниз , до адміністраторки .",220,1ed3fef56c8f.txt,"{'T21': ('адміністратора', 'JOB')}","{'T21': ('адміністраторки', 'JOB')}"
"Колишній губернатор і нардеп від Луцька сьогодні не має такої довіри лучан , як у далекому 2002-му .",2,"Колишня губернаторка і нардепка від Луцька сьогодні не має такої довіри лучан , як у далекому 2002-му .",2,cee02d4c030f.txt,"{'T2': ('губернатор', 'JOB'), 'T3': ('нардеп', 'JOB')}","{'T2': ('губернаторка', 'JOB'), 'T3': ('нардепка', 'JOB')}"
"Після висловлення недовіри голові обласної ради Валентину Вітеру на пленарному засіданні сесії , яка врешті-решт матиме кворум , один із депутатів запропонує обрати очільником найвищого представницького органу краю Володимира Бондаря , обраного 26 квітня депутатом облради на проміжних виборах у мажоритарному окрузі № 23 , що в Ратнівському районі .",10,"Після висловлення недовіри голові обласної ради Валентині Вітер на пленарному засіданні сесії , яка врешті-решт матиме кворум , одна із депутаток запропонує обрати очільницею найвищого представницького органу краю Марію Бондаренко , обрану 26 квітня депутаткою облради на проміжних виборах у мажоритарному окрузі № 23 , що в Ратнівському районі .",10,cee02d4c030f.txt,"{'T11': ('голові', 'JOB'), 'T16': ('депутатом', 'JOB')}","{'T11': ('голові', 'JOB'), 'T16': ('депутаткою', 'JOB')}"
"6 квітня під час апаратної наради в голови облдержадміністрації керівник апарату ОДА Дмитро Дубняк повідомив , що питання з виділенням коштів на проведення виборів так і не вирішили .",32,"6 квітня під час апаратної наради в голови облдержадміністрації керівниця апарату ОДА Марина Дубняк повідомила , що питання з виділенням коштів на проведення виборів так і не вирішили .",32,cee02d4c030f.txt,"{'T33': ('голови', 'JOB'), 'T35': ('керівник', 'JOB')}","{'T33': ('голови', 'JOB'), 'T35': ('керівниця', 'JOB')}"
"Не вирішили це питання і за чотири дні до проведення виборів , про що 22 квітня у коментарі IA ZIK розповів голова Волинської обласної виборчої комісії Микола Євтушин : « Нас просто футболять .",36,"Не вирішили це питання і за чотири дні до проведення виборів , про що 22 квітня у коментарі IA ZIK розповіла голова Волинської обласної виборчої комісії Неля Євтушина : « Нас просто футболять .",36,cee02d4c030f.txt,"{'T43': ('голова', 'JOB')}","{'T43': ('голова', 'JOB')}"
Фракція ВО « Свобода » одразу ж поспішила звинуватити у зриві сесії 29 квітня голову обласної ради Валентина Вітера .,53,Фракція ВО « Свобода » одразу ж поспішила звинуватити у зриві сесії 29 квітня голову обласної ради Людмилу Вітер .,53,cee02d4c030f.txt,"{'T67': ('голову', 'JOB')}","{'T67': ('голову', 'JOB')}"
Про це вчора під час брифінгу повідомив голова КМДА Володимир Бондаренко .,8,Про це вчора під час брифінгу повідомила голова КМДА Людмила Бондаренко .,8,10a2da5c514c.txt,"{'T5': ('голова', 'JOB')}","{'T5': ('голова', 'JOB')}"
"Проте загострена потреба провести огляд повторно , самому , поки доктор Нещерет вовтузиться зі своїми дослідами та аналізами , привела Левченка туди , де загинула Люба .",13,"Проте загострена потреба провести огляд повторно , самому , поки докторка Нещерет вовтузиться зі своїми дослідами та аналізами , привела Левченко туди , де загинула Люба .",13,755c890a06fb.txt,"{'T4': ('доктор', 'JOB')}","{'T4': ('докторка', 'JOB')}"
"А тому , що певною мірою вже тоді помаленьку переставав вірити в романтику малих станцій та поїздів , бо вона більше гадана , як справжня , і є , очевидно , вигадкою поетів , аніж дійсністю , хоча вигадки поетів — це теж одна з форм дійсності , коли незначне виводиться у значне , хоча перше не перестає залишатися собою , тим більше , що цю прицукровану вигадку підхопили й розжували , отже вона перетворилась у певний літературний шаблон , а шаблон — одна з устояних форм реальності .",54,"А тому , що певною мірою вже тоді помаленьку переставав вірити в романтику малих станцій та поїздів , бо вони більше гадані , як справжні , і є , очевидно , вигадкою поетес , аніж дійсністю , хоча вигадки поетес — це теж одна з форм дійсності , коли незначне виводиться у значне , хоча перше не перестає залишатися собою , тим більше , що цю прицукровану вигадку підхопили й розжували , отже вони перетворились у певний літературний шаблон , а шаблон — одна з устояних форм реальності .",54,d3669729136c.txt,"{'T9': ('поетів', 'JOB'), 'T10': ('поетів', 'JOB')}","{'T9': ('поетес', 'JOB'), 'T10': ('поетес', 'JOB')}"
"Навколо синюватий туман , небо сіре , наче велетень художник вилив у фарби свою печаль .",64,"Навколо синюватий туман , небо сіре , наче велетень художниця вилила у фарби свою печаль .",64,d3669729136c.txt,"{'T11': ('художник', 'JOB')}","{'T11': ('художниця', 'JOB')}"
"У 1870-х роках французький психіатр Жан-Мартен Шарко доводить публіці , що істерія та сомнамбулізм мають спільну природу .",47,"У 1870-х роках французька психіатриня Уляна-Мартен Шарко доводить публіці , що істерія та сомнамбулізм мають спільну природу .",47,f161f5134505.txt,"{'T13': ('психіатр', 'JOB')}","{'T13': ('психіатриня', 'JOB')}"
"А поки — їдьте , їдьте , чого ви так довго стоїте тут , до побачення , дайте ще раз обійму , не ображайте водія , їдьте чемно , до побачення , ще раз поцілую .",74,"А поки — їдьте , їдьте , чого ви так довго стоїте тут , до побачення , дайте ще раз обійму , не ображайте водійку , їдьте чемно , до побачення , ще раз поцілую .",74,e1dbe335e762.txt,"{'T6': ('водія', 'JOB')}","{'T6': ('водійку', 'JOB')}"
"Багато психологів вважають , що первинні реакції немовлят , які характеризують їх інтраіндивідуальний розвиток , є недиференційованими .",37,"Багато психологинь вважають , що первинні реакції немовлят , які характеризують їх інтраіндивідуальний розвиток , є недиференційованими .",37,2298b6b41bec.txt,"{'T3': ('психологів', 'JOB')}","{'T3': ('психологинь', 'JOB')}"
"Вивчаючи моторику сплячих і несплячих новонароджених , американські дослідники ( Т . Бразельтон ) визначили характеристики , якими вони різняться .",54,"Вивчаючи моторику сплячих і несплячих новонароджених , американські дослідниці ( Т . Бразельтон ) визначили характеристики , якими вони різняться .",54,2298b6b41bec.txt,"{'T9': ('дослідники', 'JOB')}","{'T9': ('дослідниці', 'JOB')}"
"Американські психологи ( Г . Шаффер , П . Емерсон ) , вивчаючи реакції 37 новонароджених на фізичний контакт , виокремили немовлят , які прагнуть обіймів , одержують задоволення від близького фізичного контакту , і тих , що уникають обіймів , опираються контакту , виявляючи фізичне напруження .",59,"Американські психологині ( Г . Шаффер , П . Емерсон ) , вивчаючи реакції 37 новонароджених на фізичний контакт , виокремили немовлят , які прагнуть обіймів , одержують задоволення від близького фізичного контакту , і тих , що уникають обіймів , опираються контакту , виявляючи фізичне напруження .",59,2298b6b41bec.txt,"{'T11': ('психологи', 'JOB')}","{'T11': ('психологині', 'JOB')}"
"Американські психологи ( Д . Кембелл і Д . Фіське ) за допомогою факторного аналізу виявили міжіндивідуальну стійкість незалежних показників графомоторики ( розмір , натиск , незграбність , протяжність ) при виконанні різних завдань ( копіювання , писання , малювання ) .",81,"Американські психологині ( Д . Кембелл і Д . Фіське ) за допомогою факторного аналізу виявили міжіндивідуальну стійкість незалежних показників графомоторики ( розмір , натиск , незграбність , протяжність ) при виконанні різних завдань ( копіювання , писання , малювання ) .",81,2298b6b41bec.txt,"{'T16': ('психологи', 'JOB')}","{'T16': ('психологині', 'JOB')}"
"Американський психолог С . Стівенс зафіксував , що гіперкінетичні ( надрухливі ) діти завжди проявляють тенденцію працювати зі швидкістю , наближеною до можливої для них максимальної величини , і не здатні адаптуватися до зміни стимульної ситуації .",83,"Американська психологиня С . Стівенс зафіксувала , що гіперкінетичні ( надрухливі ) діти завжди проявляють тенденцію працювати зі швидкістю , наближеною до можливої для них максимальної величини , і не здатні адаптуватися до зміни стимульної ситуації .",83,2298b6b41bec.txt,"{'T19': ('психолог', 'JOB')}","{'T19': ('психологиня', 'JOB')}"
"Ще один науковець стояв біля панелі екстреного вимкнення детонатора на випадок , якщо надійде така команда .",8,"Ще одна науковиця стояла біля панелі екстреного вимкнення детонатора на випадок , якщо надійде така команда .",8,b381bc7842b1.txt,"{'T7': ('науковець', 'JOB')}","{'T7': ('науковиця', 'JOB')}"
"Цю прогалину , життєпис відомого колись на всю округу фотографа , заповнив краєзнавець і тележурналіст Василь Нагірний .",0,"Цю прогалину , життєпис відомої колись на всю округу фотографки , заповнила краєзнавиця і тележурналістка Олександра Нагірна .",0,1448663b16b2.txt,"{'T1': ('фотографа', 'JOB'), 'T2': ('тележурналіст', 'JOB')}","{'T1': ('фотографки', 'JOB'), 'T2': ('тележурналістка', 'JOB')}"
"« Такі змагання проводяться в Чернівцях вперше » , – розповів голова Чернівецького осередку бойового гопака Іван Підгорський .",4,"« Такі змагання проводяться в Чернівцях вперше » , – розповіла голова Чернівецького осередку бойового гопака Валентина Підгорська .",4,bdda872d3ef9.txt,"{'T6': ('голова', 'JOB')}","{'T6': ('голова', 'JOB')}"
"Як розповів голова Хмельницької обласної федерації бойового гопака Іван Куць , окрім фізичного виховання , учні школи бойового гопака отримують ще й духовне виховання .",12,"Як розповіла голова Хмельницької обласної федерації бойового гопака Оксана Куць , окрім фізичного виховання , учні школи бойового гопака отримують ще й духовне виховання .",12,bdda872d3ef9.txt,"{'T12': ('голова', 'JOB')}","{'T12': ('голова', 'JOB')}"
"Як стверджують тренери , це традиція українського народу .",18,"Як стверджують тренерки , це традиція українського народу .",18,bdda872d3ef9.txt,"{'T16': ('тренери', 'JOB')}","{'T16': ('тренерки', 'JOB')}"
"Трансформаційні процеси у районній пресі зазначеного періоду , на наш погляд , набули незворотного характеру лише навесні 1990-го , після виборів до місцевих рад народних депутатів 4 березня .",8,"Трансформаційні процеси у районній пресі зазначеного періоду , на наш погляд , набули незворотного характеру лише навесні 1990-го , після виборів до місцевих рад народних депутаток 4 березня .",8,85622bc925dc.txt,"{'T8': ('народних депутатів', 'JOB')}","{'T8': ('народних депутаток', 'JOB')}"
"Натомість у вихідних даних на останній сторінці дрібним шрифтом зазначається , що видавцями газети є районна рада та районна партійна організація ( без вказівки якої саме партії ) .",28,"Натомість у вихідних даних на останній сторінці дрібним шрифтом зазначається , що видавчинями газети є районна рада та районна партійна організація ( без вказівки якої саме партії ) .",28,85622bc925dc.txt,"{'T44': ('видавцями', 'JOB')}","{'T44': ('видавчинями', 'JOB')}"
"В наших умовах у таких « рольових коконах » продовжували дефілювати партійні ортодокси , лектори ЦК Компартії , які своєю поведінкою дуже нагадували героя Кіфера Сазерленда ( чи то герой « Меланхолії » через двадцять п’ять років наслідує їх ?.. ) , та ще офіцери КҐБ , які єдині тоді мусили бути щасливі , бо їм додалося праці : в кінці травня один такий приходив вербувати й мене ( цей сюжет я потім використала для схожого епізоду в біографії Дарини в « Музеї покинутих секретів » ) , і ми з ним близько трьох годин мужньо блукали вулицями « на свіжому повітрі » , дивуючи нечастих перехожих ( він , правда , запропонував піти до ресторану – на той час гуляти « на свіжому повітрі » вже не рекомендувалося цілком офіційно , – але на це я згодитись не могла : ресторан – то вже , як не крути , « початок угоди » , після якого відмовлятися від « співпраці » було б набагато складніше , і наковтатися трохи зайвих мікрорентґенів – яка вже різниця , кількома більше чи кількома менше ? – було однозначно привабливішою опцією ) .",6,"В наших умовах у таких « рольових коконах » продовжували дефілювати партійні ортодокси , лекторки ЦК Компартії , які своєю поведінкою дуже нагадували героїню Кіри Сазерленд ( чи то героїня « Меланхолії » через двадцять п’ять років наслідує їх ?.. ) , та ще офіцери КҐБ , які єдині тоді мусили бути щасливі , бо їм додалося праці : в кінці травня один такий приходив вербувати й мене ( цей сюжет я потім використала для схожого епізоду в біографії Віктора в « Музеї покинутих секретів » ) , і ми з ним близько трьох годин мужньо блукали вулицями « на свіжому повітрі » , дивуючи нечастих перехожих ( він , правда , запропонувала піти до ресторану – на той час гуляти « на свіжому повітрі » вже не рекомендувалося цілком офіційно , – але на це я згодитись не могла : ресторан – то вже , як не крути , « початок угоди » , після якого відмовлятися від « співпраці » було б набагато складніше , і наковтатися трохи зайвих мікрорентґенів – яка вже різниця , кількома більше чи кількома менше ? – було однозначно привабливішою опцією ) .
",3,87ae82667e2a.txt,"{'T3': ('лектори', 'JOB')}","{'T3': ('лекторки', 'JOB')}"
"Можливо , комусь ця думка здасться блюзнірчою , але якби на хвилинку спробувати уявити себе режисером того фільму , в якому всі ми , сім мільярдів « двоногих без пір’я » , складаємо всього-на-всього масовку , то доводиться визнати : « майданчики » для вироблення такого досвіду в обох випадках – і Чорнобиля , і Фукусіми – обрано таки не без сенсу .",16,"Можливо , комусь ця думка здасться блюзнірчою , але якби на хвилинку спробувати уявити себе режисеркою того фільму , в якому всі ми , сім мільярдів « двоногих без пір’я » , складаємо всього-на-всього масовку , то доводиться визнати : « майданчики » для вироблення такого досвіду в обох випадках – і Чорнобиля , і Фукусіми – обрано таки не без сенсу .
",8,87ae82667e2a.txt,"{'T18': ('режисером', 'JOB')}","{'T18': ('режисеркою', 'JOB')}"
"Аліна стоїть усередині однієї з веж художника Кіріко чи в Темній вежі Кінга , хто зна .",64,"Микола стоїть усередині однієї з веж художниці Кіріко чи в Темній вежі Кінга , хто зна .",64,fad2422a7bf3.txt,"{'T17': ('художника', 'JOB')}","{'T17': ('художниці', 'JOB')}"
"– Нині в оборонному відомстві вже окреслені головні кроки щодо посилення обороноздатності нашої держави , – резюмує заступник Міністра оборони України Іван Руснак .",9,"– Нині в оборонному відомстві вже окреслені головні кроки щодо посилення обороноздатності нашої держави , – резюмує заступниця Міністра оборони України Марія Руснак .",9,dc25535e13d7.txt,"{'T7': ('заступник', 'JOB')}","{'T7': ('заступниця', 'JOB')}"
"Найзагадковіший письменник Гоголь , на перший погляд , зовсім відкритий .",2,"Найзагадковіша письменниця Гоголь , на перший погляд , зовсім відкрита .",2,92d38b895fa4.txt,"{'T2': ('письменник', 'JOB')}","{'T2': ('письменниця', 'JOB')}"
М . Бердяєв придивився пильніше до Хлєстакова й розпізнав його в начальникові большевицького департаменту ( а він мав нагоду все те бачити зблизька ) .,27,М . Бердяєва придивилася пильніше до Хлєстакової й розпізнала її в начальниці большевицького департаменту ( а вона мала нагоду все те бачити зблизька ) .,27,92d38b895fa4.txt,"{'T11': ('начальникові', 'JOB')}","{'T11': ('начальниці', 'JOB')}"
"« Гоголь увесь зашифрований » , – сказав мені в Сибіру один геолог .",66,"« Гоголь уся зашифрована » , – сказала мені в Сибіру одна геологиня .",66,92d38b895fa4.txt,"{'T41': ('геолог', 'JOB')}","{'T41': ('геологиня', 'JOB')}"
"Орнітологи ж – фахівці , які вивчають птахів , – вважають , що зараз у голубів відбувається щорічне загострення через різкі перепади температури .",50,"Орнітологині ж – фахівчині , які вивчають птахів , – вважають , що зараз у голубів відбувається щорічне загострення через різкі перепади температури .",50,d3d5522aa52e.txt,"{'T19': ('Орнітологи', 'JOB')}","{'T19': ('Орнітологині', 'JOB')}"
"Правда , орнітологи зауважують , що цього року значний мор птиці спричинила рання весна .",54,"Правда , орнітологині зауважують , що цього року значний мор птиці спричинила рання весна .",54,d3d5522aa52e.txt,"{'T20': ('орнітологи', 'JOB')}","{'T20': ('орнітологині', 'JOB')}"
"Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшов священик , прочитав молитву і освятив те , що принесли люди .",11,"Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшла священиця , прочитала молитву і освятила те , що принесли люди .",11,aad4dce361f1.txt,"{'T2': ('священик', 'JOB')}","{'T2': ('священиця', 'JOB')}"
Дід Мартин відпустив свого поводиря разом з іншими додому — тобто до панотця .,35,Бабуся Мартина відпустила свою поводирку разом з іншими додому — тобто до панотця .,35,aad4dce361f1.txt,"{'T13': ('панотця', 'JOB')}","{'T13': ('панотця', 'JOB')}"
"Може , тому і під храм підгадували кобзарі свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців .",68,"Може , тому і під храм підгадували кобзарки свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців .",68,aad4dce361f1.txt,"{'T18': ('кобзарі', 'JOB')}","{'T18': ('кобзарки', 'JOB')}"
Таке пророцтво зробив американський священик Чарльз Лонг .,37,Таке пророцтво зробила американська священиця Тетяна Лонг .,37,5a0aedfe0f5d.txt,"{'T37': ('священик', 'JOB')}","{'T37': ('священиця', 'JOB')}"
"Минув місяць , відколи мене призначено на посаду начальника управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України .",0,"Минув місяць , відколи мене призначено на посаду начальниці управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України .",0,e9061171da9d.txt,"{'T2': ('начальника', 'JOB')}","{'T2': ('начальниці', 'JOB')}"
"Унаслідок зустрічей з музейниками , поїздок по областях , нарад із директорами національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердився в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .",74,"Унаслідок зустрічей з музейницями , поїздок по областях , нарад із директорками національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердилася в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .",74,e9061171da9d.txt,"{'T25': ('музейниками', 'JOB')}","{'T25': ('музейницями', 'JOB')}"
"Але щойно запрацювала камера , невидима сила торкнулась її чола , актриса стала вищою , обличчя спалахнуло і вона — відповідно до ролі — узялася впевнено й насмішкувато закручувати навколо себе енергетику вибухового епізоду .",2,"Але щойно запрацювала камера , невидима сила торкнулась його чола , актор став вищим , обличчя спалахнуло і він — відповідно до ролі — узявся впевнено й насмішкувато закручувати навколо себе енергетику вибухового епізоду .",2,bf4968831cc7.txt,"{'T2': ('актриса', 'JOB')}","{'T2': ('актор', 'JOB')}"
"А янголи Господні збираються десь там нагорі , як охоронці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження .",3,"А янголи Господні збираються десь там нагорі , як охоронниці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження .",3,dcbb9ddb4aaa.txt,"{'T2': ('охоронці', 'JOB')}","{'T2': ('охоронниці', 'JOB')}"
