inputs,targets
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім зазначеного, протоколом наради з питань оптимізації цін і тарифів на природний газ, електричну енергію та вугілля на 2011 рік під головуванням Першого віце – премʼєр – міністра України Клюєва А. П.","Крім зазначеного, протоколом наради з питань оптимізації цін і тарифів на природний газ, електричну енергію та вугілля на 2011 рік під головуванням Першої віце – премʼєр – міністерки України Клюєвої А. П."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором «Бізнес-центру НКСІУ» є Євген Дорошенко, радник президента Національного комітету спорту інвалідів Валерія Сушкевича, народного депутата від БЮТ-Б.","Директоркою «Бізнес-центру НКСІУ» є Ірина Дорошенко, радниця президента Національного комітету спорту інвалідів Валерії Сушкевич, народної депутатки від БЮТ-Б."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Це історія про письменника, який створюючи детективний роман, потрапляє в світ своїх персонажів.","Це історія про письменницю, яка створюючи детективний роман, потрапляє в світ своїх персонажів."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Про це свідчить електронна декларація судді у реєстрі НАЗК.",Про це свідчить електронна декларація судді у реєстрі НАЗК.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Зазначається, що це спільна власність судді та її чоловіка Євгена Андреїшина.","Зазначається, що це спільна власність судді та його дружини Олени Андреїшини."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Також суддя має авто Volkswagen Tiguan 2009 року випуску, а її чоловік – Nissan Note 2010 р.в.","Також суддя має авто Volkswagen Tiguan 2009 року випуску, а його дружина – Nissan Note 2010 р.в."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суддя повідомила, що у 2015 році продала квартиру деякій Наталії Імановій.","Суддя повідомив, що у 2015 році продав квартиру деякому Артему Іманову."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Від продажу суддя Андреїшина отримала 779 тис грн. доходу.",Від продажу суддя Андреїшин отримав 779 тис грн. доходу.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У реєстрі нерухомості є дані, що Наталія Іманова купила квартир у 26 листопада 2015 року, тобто за тиждень до того, як суддя придбала автомобіль.","У реєстрі нерухомості є дані, що Ілля Іманов купив квартир у 26 листопада 2015 року, тобто за тиждень до того, як суддя придбав автомобіль."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2014 році, коли суддя носила прізвище свого колишнього чоловіка – Гавриловська – квартиру на вулиці Голосіївській вона не декларувала.","У 2014 році, коли суддя носив прізвище своєї колишньої дружини – Гавриловської – квартиру на вулиці Голосіївській він не декларував."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Згідно з офіційними деклараціями про доходи, суддя має службову квартирою площею 90 кв. м. Ця квартира належить Госпсуду Києва і перебуває в користуванні судді з 2012 року.","Згідно з офіційними деклараціями про доходи, суддя має службову квартирою площею 90 кв. м. Ця квартира належить Госпсуду Києва і перебуває в користуванні судді з 2012 року."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У службовій квартирі також прописаний син судді – Максим.",У службовій квартирі також прописана дочка судді – Лідія.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суддя Андреїшина офіційно має 20% у квартирі в Києві площею 67,5 кв. м., якою володіють її батьки та сестри.","Суддя Андреїшин офіційно має 20% у квартирі в Києві площею 67,5 кв. м., якою володіють її батьки та брати."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У минулому році суддя Андреїшина отримала 187 тис грн. зарплати і 18 тис грн. аліментів на сина.",У минулому році суддя Андреїшин отримав 187 тис грн. зарплати і 18 тис грн. аліментів на доньку.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2014 році суддя також декларувала цінні папери номінальною вартістю 0,52 млн грн.","У 2014 році суддя також декларувала цінні папери номінальною вартістю 0,52 млн грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2015 році суддя повідомила, що не має жодних грошових активів.","У 2015 році суддя повідомив, що не має жодних грошових активів."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Чоловік судді за минулий рік офіційно заробив тільки 55 тис грн.",Дружина судді за минулий рік офіційно заробила тільки 55 тис грн.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Він значиться директором ТОВ «Спіріт Бета», що спеціалізується на ресторанній діяльності і послугах мобільного харчування.","Вона значиться директоркою ТОВ «Спіріт Бета», що спеціалізується на ресторанній діяльності і послугах мобільного харчування."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше засновником цієї фірми значилась російська компанія «Кутузовська Плюс».",Раніше засновницею цієї фірми значилась російська компанія «Кутузовська Плюс».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд надав слідчим доступ до документації фірми.",Суд надав слідчим доступ до документації фірми.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З 2013 року засновником фірми є киянин Денис Сердюк.",З 2013 року засновницею фірми є киянка Людмила Сердюк.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директори компанії неодноразово змінювалися, і з квітня 2015 року керівником «Трейн Лідер Сервісу» є Зураб Месхі.","Директорки компанії неодноразово змінювались, і з квітня 2015 року керівницею «Трейн Лідер Сервісу» є Ольга Месхі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За версією слідчих Генпрокуратури, у 2011-2015 рр. невстановлені службові особи ДП «НАЕК «Енергоатому» за змовою з іншими особами, організували привласнення державних коштів та сприяння підконтрольним їм підприємствам в мінімізації податкових зобов'язань.","За версією слідчих Генпрокуратури, у 2011-2015 рр. невстановлені службові особи ДП «НАЕК «Енергоатому» за змовою з іншими особами, організували привласнення державних коштів та сприяння підконтрольним їм підприємствам в мінімізації податкових зобов'язань."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Також слідчі ГПУ з'ясували, що тендерна документація «Кабельтехпостачу» містила неправдиві відомості щодо офісу фірми, складських приміщень і дилерських договорів із виробником ТОВ «Крок -ГТ».","Також слідчі ГПУ з'ясували, що тендерна документація «Кабельтехпостачу» містила неправдиві відомості щодо офісу фірми, складських приміщень і дилерських договорів із виробником ТОВ «Крок -ГТ»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Відтак суд надав слідчому ГПУ доступ до договорів «Крок-ГТ» із фірмою «Кабельтехпостач», які є у розпорядженні заводу-виробника.","Відтак суд надав слідчій ГПУ доступ до договорів «Крок-ГТ» із фірмою «Кабельтехпостач», які є у розпорядженні заводу-виробника."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Однак слідчі Генпрокуратури лише через півтора роки вирішили перевірити договори «Кабельтехпостачу» з виробнико.",Однак слідчі Генпрокуратури лише через півтора роки вирішили перевірити договори «Кабельтехпостачу» з виробниць.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім спільного засновника, ці компанії також мають директором одну і ту ж особу – Потинге Василє Павлович.","Крім спільної засновниці, ці компанії також мають директоркою одну і ту ж особу – Потінга Василина Павлівна."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Компанія з орбіти нардепа від ОПЗЖ Вадима Столара розпочала будівництво житлового комплексу «Арсенал House» на ділянці по вул. Московській, 7 у Печерському районі.","Компанія з орбіти нардепки від ОПЗЖ Ірини Столар розпочала будівництво житлового комплексу «Арсенал House» на ділянці по вул. Московській, 7 у Печерському районі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Будівництво відбувається на ділянці площею 0,33 га, яка з 2017 року належить ТОВ «Расмус», що пов'язане із нардепом Вадимом Столаром і головою правління ПАТ «ХК «Київміськбуд» Ігорем Кушніром.","Будівництво відбувається на ділянці площею 0,33 га, яка з 2017 року належить ТОВ «Расмус», що пов'язане із нардепкою Валентиною Столаровою і головою правління ПАТ «ХК «Київміськбуд» Ігорем Кушніром."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Підрядником забудови є ТОВ «Альфабуд Комплект».",Підрядницею забудови є ТОВ «Альфабуд Комплект».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нагадаємо, у вересні 2019 року суд у рамках кримінального розслідування ДБР надав слідчим дозвіл на проведення обшуку у ДАБІ України та у столичному ДАБК для вилучення документів по ряду об'єктів будівництва, серед яких було і ЖК на вул Московській, 7.","Нагадаємо, у вересні 2019 року суд у рамках кримінального розслідування ДБР надав слідчим дозвіл на проведення обшуку у ДАБІ України та у столичному ДАБК для вилучення документів по ряду об'єктів будівництва, серед яких було і ЖК на вул Московській, 7."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше замість Алли Борисівни Долгопят співзасновником компанії значився Євген Якович Фельдшеров, прописаний у Києві в одній квартирі з Борисом Яковичем Долгопятом.","Раніше замість Алли Борисівни Долгопят співзасновницею компанії значилася Вікторія Яківна Фельдшерова, прописана у Києві в одній квартирі з Борисом Яковичем Долгопятом."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Євген Фельшеров був позаштатним радником Едуарда Ставицького, коли той очолював Міністерство енергетики та вугільної промисловості.","Анастасія Фельшерова була позаштатною радницею Едуарда Ставицького, коли той очолював Міністерство енергетики та вугільної промисловості."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За фактом зловживання службовим становищем посадовцями Мінприроди Генпрокуратура відкрила кримінальне провадження.",За фактом зловживання службовим становищем посадовицями Мінприроди Генпрокуратура відкрила кримінальне провадження.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками ТОВ «Бротрейд» є донеччанин Ілля Колосовський та киянин Ігор Проценко.",Засновницями ТОВ «Бротрейд» є донеччанка Тетяна Колосовська та киянка Світлана Проценко.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівником та засновником фірми є донеччанин Сергій Аверін.",Керівницею та засновницею фірми є донеччанка Ольга Аверіна.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Фірма прописана в Києві, але її власником і директором є Максим Макаров з Вугледара Донецької обл. Макаров у якості власника якогось іншого бізнесу раніше не був відомий.","Фірма прописана в Києві, але її власницею і директоркою є Наталія Макарова з Вугледара Донецької обл. Макарова у якості власниці якогось іншого бізнесу раніше не була відомою."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2015 році заступником міністра енергетики та вуглепрому, який займається вугільною галуззю, став Ігор Мартиненков.","У 2015 році заступницею міністра енергетики та вуглепрому, яка займається вугільною галуззю, стала Людмила Мартиненкова."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім них, у складі засновників раніше був Єгор Рокашевич.","Крім них, у складі засновниць раніше була Марія Рокашевич."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): На виборах до парламенту він в 2014 р. був довіреною особою Сергія Близнюка, сина Анатолія Близнюка – екс-очільника Донецької області, а в 1996-1997 роках – мера Краматорська.","На виборах до парламенту вона в 2014 р. була довіреною особою Ірини Близнюк, дочки Олександра Близнюка – екс-очільниці Донецької області, а в 1996-1997 роках – мера Краматорська."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Масалітін також є директором ТОВ «Бек-офіс», співзасновником якого є Юрій Дерев'янко, а також працював юристом у ВАТ «Краматорський завод важкого верстатобудування» та КВП «Краматорський водоканал».","Масалітіна також є директоркою ТОВ «Бек-офіс», співзасновницею якого є Юлія Дерев'янко, а також працювала юристкою у ВАТ «Краматорський завод важкого верстатобудування» та КВП «Краматорський водоканал»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Звіт АМКУ від 2 листопада про виконання рітейлерами його рекомендацій стосовно торгівельних надбавок свідчить про те, що Комітет закриє розслідування подорожчання продуктів на початку епідемії COVID-19 без штрафів для торгівельних мереж.","Звіт АМКУ від 2 листопада про виконання рітейлерками її рекомендацій стосовно торгівельних надбавок свідчить про те, що Комітет закриє розслідування подорожчання продуктів на початку епідемії COVID-19 без штрафів для торгівельних мереж."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Зростання цін у рітейлерів відбувалось підозріло синхронно.",Зростання цін у рітейлерок відбувалось підозріло синхронно.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Ситуацією зацікавилось Київське відділення АМКУ та розпочало розслідування змови між постачальниками продуктів харчування та найбільшими мережами столичних продовольчих магазинів.",Ситуацією зацікавилось Київське відділення АМКУ та розпочало розслідування змови між постачальницями продуктів харчування та найбільшими мережами столичних продовольчих магазинів.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Під час розслідування АМКУ мав з'ясувати причини стрімкого зростання ціни: чи пов'язано це лише з підвищенням попиту, чи все ж таки має місце цінова змова між операторами ринку.","Під час розслідування АМКУ мала з'ясувати причини стрімкого зростання ціни: чи пов'язано це лише з підвищенням попиту, чи все ж таки має місце цінова змова між операторками ринку."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Через кілька днів після початку розслідування АМКУ надав «підозрюваним» рітейлерам рекомендації про необхідність збільшити коло потенційних постачальників продукції та переглянути рівні торговельної надбавки.",Через кілька днів після початку розслідування АМКУ надав «підозрюваним» рітейлеркам рекомендації про необхідність збільшити коло потенційних постачальниць продукції та переглянути рівні торговельної надбавки.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 2 листопада АМКУ відзвітував, що оператори ринку не тільки виконали рекомендації, а й зменшили націнки на окремі соціальні товари до 0%, тобто до собівартості.","2 листопада АМКУ відзвітував, що операторки ринку не тільки виконали рекомендації, а й зменшили націнки на окремі соціальні товари до 0%, тобто до собівартості."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Отже, найближчим часом очікуємо, що справа проти рітейлерів буде закрита відомством.","«Отже, найближчим часом очікуємо, що справа проти рітейлерок буде закрита відомством."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Які все ж таки були причини різкого здорожчання продуктів харчування та чи змовились рітейлери, щоб заробити більше в період пандемії?","Які все ж таки були причини різкого здорожчання продуктів харчування та чи змовились рітейлерки, щоб заробити більше в період пандемії?"
