original_sentence,changed_sentence
"Орнітологи ж – фахівці , які вивчають птахів , – вважають , що зараз у голубів відбувається щорічне загострення через різкі перепади температури .","Орнітологині ж – фахівчині , які вивчають птахів , – вважають , що зараз у голубів відбувається щорічне загострення через різкі перепади температури ."
"Правда , орнітологи зауважують , що цього року значний мор птиці спричинила рання весна .","Правда , орнітологині зауважують , що цього року значний мор птиці спричинила рання весна ."
"Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшов священик , прочитав молитву і освятив те , що принесли люди .","Після служби висипали на церковне подвір'я , стали з кошиками в коло , тоді вийшла священиця , прочитала молитву і освятила те , що принесли люди ."
Дід Мартин відпустив свого поводиря разом з іншими додому — тобто до панотця .,Бабуся Мартина відпустила свою поводирку разом з іншими додому — тобто до панотця .
"Може , тому і під храм підгадували кобзарі свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців .","Може , тому і під храм підгадували кобзарки свої цехові збори — сходку , щоб менше на них звертали увагу , щоб менше впадала в око велика кількість мандрівних сліпців ."
Таке пророцтво зробив американський священик Чарльз Лонг .,Таке пророцтво зробила американська священиця Тетяна Лонг .
"Минув місяць , відколи мене призначено на посаду начальника управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України .","Минув місяць , відколи мене призначено на посаду начальниці управління музейної справи і нормативно-методичного забезпечення переміщення культурних цінностей Міністерства культури України ."
"Унаслідок зустрічей з музейниками , поїздок по областях , нарад із директорами національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердився в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація .","Унаслідок зустрічей з музейницями , поїздок по областях , нарад із директорками національних закладів музейного типу , участі в засіданні колегії й музейної ради , після обміну досвідом із міністерствами культури Грузії й Польщі утвердилася в думці , що головні проблеми галузі , якими треба займатися насамперед і вирішення яких автоматично закриє багато інших питань , – це менеджмент і комунікація ."
"Але щойно запрацювала камера , невидима сила торкнулась її чола , актриса стала вищою , обличчя спалахнуло і вона — відповідно до ролі — узялася впевнено й насмішкувато закручувати навколо себе енергетику вибухового епізоду .","Але щойно запрацювала камера , невидима сила торкнулась його чола , актор став вищим , обличчя спалахнуло і він — відповідно до ролі — узявся впевнено й насмішкувато закручувати навколо себе енергетику вибухового епізоду ."
"А янголи Господні збираються десь там нагорі , як охоронці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження .","А янголи Господні збираються десь там нагорі , як охоронниці в супермаркетах , і регочуть із тебе , надриваючи животи біля своїх камер спостереження ."
""" Але ж , – запитаєте ви , – в церкві сповідаються перед священиком .",""" Але ж , – запитаєте ви , – в церкві сповідаються перед священицею ."
"До чиїх ніг нам падати ? "" Щоб таких питань не виникало , уважно дослухаймось до слів священика , якими він звертається до нас перед Сповіддю : "" Ось , чадо , Христос невидимо стоїть і приймає твою сповідь , а я тільки свідок , щоб свідчити перед Ним про все , що ти скажеш мені "" .","До чиїх ніг нам падати ? "" Щоб таких питань не виникало , уважно дослухаймось до слів священиці , якими вона звертається до нас перед Сповіддю : "" Ось , чадо , Христос невидимо стоїть і приймає твою сповідь , а я тільки свідок , щоб свідчити перед Ним про все , що ти скажеш мені "" ."
